Nose,Left Wrist,Right Wrist,Left Elbow,Right Elbow,Left Hip,Right Hip,Left Knee,Right Knee
0,493031,508557,455111,469240,401192,398405,346110,346688
0,0,0,0,0,355459,0,366360,386986
433007,0,498964,451762,460235,374280,373334,356285,358886
0,473187,478957,447345,447974,377833,373797,333733,335601
0,481529,494649,444498,463716,366486,370972,332512,333010
0,481674,481951,446079,453914,373135,374777,333686,335839
422544,494909,379674,460233,386494,380999,368428,333277,326017
435150,499341,474460,465949,440436,398065,387633,350123,344262
398422,489750,271653,454311,328489,390736,369158,350393,326511
421410,489944,314420,455299,351114,387805,370719,331729,323825
374087,452623,297477,429431,336061,393231,377889,332741,325756
0,495500,0,447574,0,396987,386478,331674,329015
409406,490803,291922,448976,336735,381454,363093,324905,316326
0,493031,508557,455111,469240,401192,398405,346110,346688
400928,491583,282719,443202,327964,375372,357306,324538,316324
392972,479109,280682,437586,323398,389325,368107,332129,317274
414549,490704,281014,443280,323523,368389,347557,318648,309402
0,0,0,0,0,355459,0,366360,386986
414686,483003,298980,446089,330876,370490,350870,322996,313283
409344,482348,307229,444861,338576,375935,356450,325234,313378
433007,0,498964,451762,460235,374280,373334,356285,358886
398070,486336,276674,444234,319466,373063,349290,318246,301068
404480,481353,281604,444126,328453,368050,349157,317104,303705
404192,477360,295138,442511,339668,368736,351766,316828,305744
0,473187,478957,447345,447974,377833,373797,333733,335601
398185,474316,272438,437572,323535,364222,346439,316997,304905
396889,467624,399339,430589,379700,355223,342231,310785,304207
400659,472827,0,445339,0,382397,366475,327876,318964
398118,472260,392128,442297,390723,362740,353704,316926,316042
0,481529,494649,444498,463716,366486,370972,332512,333010
389639,464965,377017,435397,378913,366277,356316,312424,310335
0,481674,481951,446079,453914,373135,374777,333686,335839
0,465964,383300,433603,375968,360630,349366,311667,307639
422544,494909,379674,460233,386494,380999,368428,333277,326017
388517,466037,372537,437201,373821,354619,344815,306840,306792
0,358950,333282,379855,364669,362213,360545,311521,313910
398422,489750,271653,454311,328489,390736,369158,350393,326511
412544,377809,395396,391368,397277,353407,353538,301270,304827
421410,489944,314420,455299,351114,387805,370719,331729,323825
0,378891,399637,392547,400634,344380,345212,293710,300219
374087,452623,297477,429431,336061,393231,377889,332741,325756
0,377964,391792,394733,394784,344257,343367,293195,297237
